state,year,crime_group,crime_subgroup,auto_theft_coordinated_traced,auto_theft_recovered,auto_theft_stolen,source_dataset
Puducherry,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,172.0,478,auto_theft
Punjab,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,415.0,385.0,1110,auto_theft
Rajasthan,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,100.0,1170.0,6574,auto_theft
Sikkim,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,3.0,3.0,3,auto_theft
Tamil Nadu,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1830.0,2222.0,2545,auto_theft
Tripura,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,13.0,51,auto_theft
Uttar Pradesh,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,59.0,1660.0,7579,auto_theft
Uttarakhand,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,106.0,106.0,418,auto_theft
West Bengal,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,47.0,353.0,1954,auto_theft
Andaman & Nicobar Islands,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,6.0,10,auto_theft
Andhra Pradesh,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,3316.0,6993,auto_theft
Arunachal Pradesh,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7.0,27.0,43,auto_theft
Assam,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,52.0,134.0,1255,auto_theft
Bihar,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,340.0,2445,auto_theft
Chandigarh,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,135.0,662,auto_theft
Chhattisgarh,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,428.0,1645,auto_theft
Dadra & Nagar Haveli,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,3.0,8,auto_theft
Daman & Diu,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,11.0,24,auto_theft
Delhi,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,4.0,754.0,5936,auto_theft
Goa,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,4.0,67.0,213,auto_theft
Gujarat,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,637.0,1972.0,8976,auto_theft
Haryana,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,300.0,1618.0,5779,auto_theft
Himachal Pradesh,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,23.0,48.0,153,auto_theft
Jammu & Kashmir,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,4.0,78.0,430,auto_theft
Jharkhand,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,280.0,2156,auto_theft
Karnataka,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,313.0,1679.0,7552,auto_theft
Kerala,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,40.0,423.0,1329,auto_theft
Lakshadweep,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1.0,1.0,1,auto_theft
Madhya Pradesh,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,1997.0,10088,auto_theft
Maharashtra,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,693.0,2803.0,13589,auto_theft
Manipur,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,10.0,5.0,232,auto_theft
Meghalaya,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,7.0,47,auto_theft
Mizoram,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,19.0,25,auto_theft
Nagaland,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,7.0,121,auto_theft
Odisha,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,582.0,1771,auto_theft
Puducherry,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,147.0,418,auto_theft
Punjab,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,426.0,463.0,1307,auto_theft
Rajasthan,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,250.0,1216.0,7837,auto_theft
Sikkim,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1.0,1.0,1,auto_theft
Tamil Nadu,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2035.0,2672.0,3424,auto_theft
Tripura,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,15.0,54,auto_theft
Uttar Pradesh,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,209.0,1702.0,8419,auto_theft
Uttarakhand,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,127.0,506,auto_theft
West Bengal,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,356.0,2158,auto_theft
Andaman & Nicobar Islands,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,8.0,9,auto_theft
Andhra Pradesh,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,659.0,3625.0,7244,auto_theft
Arunachal Pradesh,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7.0,30.0,83,auto_theft
Assam,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,43.0,214.0,1135,auto_theft
Bihar,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,118.0,338.0,3200,auto_theft
Chandigarh,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,199.0,648,auto_theft
Chhattisgarh,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,582.0,1882,auto_theft
Dadra & Nagar Haveli,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,2.0,10,auto_theft
Daman & Diu,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,5.0,27,auto_theft
Delhi,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,438.0,1164.0,7843,auto_theft
Goa,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,5.0,71.0,310,auto_theft
Gujarat,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,918.0,2445.0,9821,auto_theft
Haryana,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,307.0,1727.0,6070,auto_theft
Himachal Pradesh,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,12.0,56.0,129,auto_theft
Jammu & Kashmir,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,73.0,362,auto_theft
Jharkhand,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,477.0,2168,auto_theft
Karnataka,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,227.0,2263.0,9724,auto_theft
Kerala,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,24.0,550.0,1498,auto_theft
Lakshadweep,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,1.0,1,auto_theft
Madhya Pradesh,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,2027.0,9826,auto_theft
Maharashtra,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1083.0,3731.0,14723,auto_theft
Manipur,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,5.0,5.0,253,auto_theft
Meghalaya,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,3.0,7.0,99,auto_theft
Mizoram,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,26.0,26.0,33,auto_theft
Nagaland,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,9.0,83,auto_theft
Odisha,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,108.0,571.0,2081,auto_theft
Puducherry,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,77.0,243.0,487,auto_theft
Punjab,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,215.0,764.0,1746,auto_theft
Rajasthan,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,374.0,1507.0,9787,auto_theft
Sikkim,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,,1,auto_theft
Tamil Nadu,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2800.0,3571.0,4865,auto_theft
Tripura,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,24.0,63,auto_theft
Uttar Pradesh,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,212.0,1718.0,11181,auto_theft
Uttarakhand,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,193.0,556,auto_theft
West Bengal,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,265.0,477.0,3034,auto_theft
Andaman & Nicobar Islands,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,12.0,21,auto_theft
Andhra Pradesh,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,648.0,4298.0,6116,auto_theft
Arunachal Pradesh,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,3.0,44.0,133,auto_theft
Assam,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,26.0,126.0,458,auto_theft
Bihar,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,5.0,324.0,3575,auto_theft
Chandigarh,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,178.0,536,auto_theft
Chhattisgarh,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,508.0,1848,auto_theft
Dadra & Nagar Haveli,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,8.0,23,auto_theft
Daman & Diu,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,9.0,25,auto_theft
Delhi,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,58.0,1225.0,9085,auto_theft
Goa,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7.0,125.0,337,auto_theft
Gujarat,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,724.0,2122.0,8403,auto_theft
Haryana,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,513.0,2248.0,8687,auto_theft
Himachal Pradesh,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,48.0,137,auto_theft
Jammu & Kashmir,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,5.0,94.0,510,auto_theft
Jharkhand,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,27.0,373.0,2268,auto_theft
Karnataka,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,263.0,2732.0,9001,auto_theft
Kerala,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2.0,495.0,1142,auto_theft
Madhya Pradesh,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,196.0,2339.0,10870,auto_theft
Maharashtra,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,932.0,3791.0,15126,auto_theft
Manipur,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,12.0,12.0,236,auto_theft
Meghalaya,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,21.0,99,auto_theft
Mizoram,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,30.0,30.0,38,auto_theft
Nagaland,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,12.0,140,auto_theft
Odisha,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,4.0,673.0,2250,auto_theft
Puducherry,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,156.0,156.0,371,auto_theft
Punjab,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,390.0,812.0,1572,auto_theft
Rajasthan,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,791.0,1715.0,11199,auto_theft
Sikkim,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,4.0,6,auto_theft
Tamil Nadu,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2368.0,3234.0,4791,auto_theft
Tripura,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,21.0,43,auto_theft
Uttar Pradesh,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,394.0,1921.0,13168,auto_theft
Uttarakhand,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,203.0,727,auto_theft
West Bengal,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,41.0,491.0,3539,auto_theft
Andhra Pradesh,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,31.0,124.0,309,auto_theft
Arunachal Pradesh,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,6.0,9,auto_theft
Assam,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,4.0,15,auto_theft
Bihar,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,7.0,43.0,175,auto_theft
Chandigarh,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,90.0,206,auto_theft
Chhattisgarh,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,3.0,47.0,105,auto_theft
Dadra & Nagar Haveli,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,1.0,2,auto_theft
Delhi,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,113.0,1151.0,4075,auto_theft
Goa,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,2.0,16.0,23,auto_theft
Gujarat,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,36.0,130.0,460,auto_theft
Haryana,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,32.0,457.0,843,auto_theft
Himachal Pradesh,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,4.0,60.0,87,auto_theft
Jammu & Kashmir,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,55.0,169,auto_theft
Jharkhand,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,3.0,7.0,16,auto_theft
Karnataka,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,43.0,183.0,597,auto_theft
Kerala,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,17.0,132.0,499,auto_theft
Madhya Pradesh,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,118.0,289,auto_theft
Maharashtra,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,466.0,595.0,1960,auto_theft
Manipur,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,1.0,6,auto_theft
Meghalaya,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,4.0,20,auto_theft
Mizoram,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,1.0,5.0,5,auto_theft
Nagaland,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,14.0,64,auto_theft
Odisha,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,15.0,43,auto_theft
Puducherry,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,1.0,1.0,3,auto_theft
Punjab,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,94.0,184.0,502,auto_theft
Rajasthan,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,11.0,160.0,570,auto_theft
Sikkim,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,2.0,4,auto_theft
Tamil Nadu,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,126.0,197,auto_theft
Uttar Pradesh,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,18.0,366.0,1565,auto_theft
Uttarakhand,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,31.0,132,auto_theft
West Bengal,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,251.0,499,auto_theft
Andhra Pradesh,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,117.0,190,auto_theft
Arunachal Pradesh,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,2.0,2,auto_theft
Assam,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,7.0,22,auto_theft
Bihar,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,6.0,57.0,122,auto_theft
Chandigarh,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,101.0,286,auto_theft
Chhattisgarh,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,45.0,128,auto_theft
Dadra & Nagar Haveli,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,1.0,6,auto_theft
Daman & Diu,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,3.0,4,auto_theft
Delhi,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,102.0,880.0,3632,auto_theft
Goa,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,5.0,8,auto_theft
Gujarat,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,29.0,172.0,565,auto_theft
Haryana,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,410.0,780,auto_theft
Himachal Pradesh,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,8.0,41.0,67,auto_theft
Jammu & Kashmir,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,3.0,95.0,308,auto_theft
Jharkhand,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,43.0,104,auto_theft
Karnataka,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,32.0,153.0,523,auto_theft
Kerala,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,10.0,207.0,623,auto_theft
Madhya Pradesh,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,3.0,126.0,318,auto_theft
Maharashtra,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,68.0,497.0,1931,auto_theft
Manipur,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,4.0,16,auto_theft
Meghalaya,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,4.0,20,auto_theft
Mizoram,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,11.0,11,auto_theft
Nagaland,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,6.0,50,auto_theft
Odisha,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,4.0,19.0,45,auto_theft
Puducherry,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,4.0,5,auto_theft
Punjab,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,171.0,236.0,477,auto_theft
Rajasthan,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,19.0,178.0,594,auto_theft
Sikkim,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,5.0,5,auto_theft
Tamil Nadu,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,2.0,120.0,158,auto_theft
Tripura,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,1.0,1,auto_theft
Uttar Pradesh,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,2.0,440.0,1385,auto_theft
Uttarakhand,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,33.0,97,auto_theft
West Bengal,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,64.0,211.0,586,auto_theft
Andaman & Nicobar Islands,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,,1,auto_theft
Andhra Pradesh,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,2.0,127.0,366,auto_theft
Arunachal Pradesh,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,1.0,1,auto_theft
Assam,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,67.0,210,auto_theft
Bihar,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,7.0,32.0,118,auto_theft
Chandigarh,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,149.0,284,auto_theft
Chhattisgarh,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,45.0,101,auto_theft
Dadra & Nagar Haveli,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,4.0,4,auto_theft
Daman & Diu,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,1.0,1,auto_theft
Delhi,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,184.0,625.0,3626,auto_theft
Goa,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,2.0,8,auto_theft
Gujarat,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,52.0,370.0,661,auto_theft
Haryana,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,33.0,363.0,784,auto_theft
Himachal Pradesh,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,1.0,48.0,92,auto_theft
Jammu & Kashmir,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,2.0,53.0,206,auto_theft
Jharkhand,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,66.0,191,auto_theft
Karnataka,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,1.0,116.0,351,auto_theft
Kerala,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,170.0,512,auto_theft
Madhya Pradesh,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,379.0,714,auto_theft
Maharashtra,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,170.0,446.0,1855,auto_theft
Manipur,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,7.0,13,auto_theft
Meghalaya,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,9.0,61,auto_theft
Mizoram,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,20.0,20,auto_theft
Nagaland,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,4.0,15,auto_theft
Odisha,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,4.0,22.0,66,auto_theft
Puducherry,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,,7,auto_theft
Punjab,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,105.0,169.0,457,auto_theft
Rajasthan,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,23.0,186.0,665,auto_theft
Sikkim,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,3.0,3,auto_theft
Tamil Nadu,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,54.0,109.0,166,auto_theft
Tripura,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,1.0,1,auto_theft
Uttar Pradesh,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,1.0,400.0,1162,auto_theft
Uttarakhand,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,34.0,80,auto_theft
West Bengal,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,115.0,168.0,392,auto_theft
Andhra Pradesh,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,38.0,182.0,414,auto_theft
Arunachal Pradesh,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,0.0,0,auto_theft
Assam,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,52.0,249,auto_theft
Bihar,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,32.0,185,auto_theft
Chandigarh,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,98.0,289,auto_theft
Chhattisgarh,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0.0,22.0,56,auto_theft
Dadra & Nagar Haveli,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,2.0,5,auto_theft
Daman & Diu,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,1.0,2,auto_theft
Delhi,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,178.0,647.0,3850,auto_theft
Goa,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,4.0,9,auto_theft
Gujarat,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,46.0,217.0,596,auto_theft
Haryana,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,,379.0,929,auto_theft
Himachal Pradesh,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,6.0,45.0,108,auto_theft
