state,year,crime_group,crime_subgroup,auto_theft_coordinated_traced,auto_theft_recovered,auto_theft_stolen,source_dataset
Haryana,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,881.0,1920,auto_theft
Himachal Pradesh,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,4.0,39.0,63,auto_theft
Jammu & Kashmir,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,3.0,94.0,270,auto_theft
Jharkhand,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,4.0,57.0,597,auto_theft
Karnataka,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,190.0,1020.0,3376,auto_theft
Kerala,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,35.0,373.0,1272,auto_theft
Madhya Pradesh,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,66.0,1285.0,4225,auto_theft
Maharashtra,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,172.0,2098.0,6777,auto_theft
Manipur,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,9.0,98,auto_theft
Meghalaya,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,6.0,31,auto_theft
Mizoram,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,17.0,18,auto_theft
Nagaland,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,12.0,89,auto_theft
Odisha,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,32.0,307.0,784,auto_theft
Puducherry,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,44.0,249,auto_theft
Punjab,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,203.0,310.0,725,auto_theft
Rajasthan,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,30.0,714.0,3696,auto_theft
Tamil Nadu,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,44.0,2934.0,4319,auto_theft
Tripura,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,63.0,71,auto_theft
Uttar Pradesh,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7.0,934.0,4126,auto_theft
Uttarakhand,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,64.0,253,auto_theft
West Bengal,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,64.0,423.0,2704,auto_theft
Andaman & Nicobar Islands,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,2.0,3,auto_theft
Andhra Pradesh,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,38.0,1636.0,3865,auto_theft
Arunachal Pradesh,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,11.0,49,auto_theft
Assam,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,58.0,497,auto_theft
Bihar,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,16.0,243.0,1183,auto_theft
Chandigarh,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,131.0,274,auto_theft
Chhattisgarh,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,325.0,752,auto_theft
Dadra & Nagar Haveli,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,4.0,10,auto_theft
Daman & Diu,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,5.0,8.0,26,auto_theft
Delhi,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,257.0,586.0,3360,auto_theft
Goa,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2.0,39.0,124,auto_theft
Gujarat,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,347.0,1770.0,6131,auto_theft
Haryana,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,80.0,929.0,1989,auto_theft
Himachal Pradesh,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1.0,31.0,78,auto_theft
Jammu & Kashmir,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,5.0,73.0,301,auto_theft
Jharkhand,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,24.0,137,auto_theft
Karnataka,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,93.0,1040.0,3597,auto_theft
Kerala,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1.0,440.0,1070,auto_theft
Lakshadweep,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1.0,1.0,1,auto_theft
Madhya Pradesh,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,1266.0,4291,auto_theft
Maharashtra,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,597.0,2116.0,7078,auto_theft
Manipur,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,4.0,107,auto_theft
Meghalaya,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,8.0,41,auto_theft
Mizoram,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,29.0,31,auto_theft
Nagaland,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,46.0,197,auto_theft
Odisha,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,94.0,248.0,752,auto_theft
Puducherry,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,63.0,63.0,284,auto_theft
Punjab,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,206.0,327.0,818,auto_theft
Rajasthan,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,37.0,820.0,4482,auto_theft
Tamil Nadu,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1107.0,3013.0,4317,auto_theft
Tripura,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,6.0,52,auto_theft
Uttar Pradesh,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,21.0,920.0,3376,auto_theft
Uttarakhand,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,83.0,269,auto_theft
West Bengal,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,29.0,374.0,2049,auto_theft
Andaman & Nicobar Islands,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,8.0,8,auto_theft
Andhra Pradesh,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,254.0,1705.0,3857,auto_theft
Arunachal Pradesh,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,31.0,75,auto_theft
Assam,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,84.0,551,auto_theft
Bihar,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,257.0,1829,auto_theft
Chandigarh,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,112.0,364,auto_theft
Chhattisgarh,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,416.0,1131,auto_theft
Dadra & Nagar Haveli,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,8.0,15,auto_theft
Daman & Diu,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,4.0,10,auto_theft
Delhi,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,125.0,871.0,4342,auto_theft
Goa,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,5.0,38.0,112,auto_theft
Gujarat,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,456.0,1798.0,6075,auto_theft
Haryana,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,1013.0,2420,auto_theft
Himachal Pradesh,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,6.0,42.0,82,auto_theft
Jammu & Kashmir,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,9.0,76.0,313,auto_theft
Jharkhand,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,57.0,597,auto_theft
Karnataka,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,113.0,1146.0,4578,auto_theft
Kerala,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,497.0,1233,auto_theft
Madhya Pradesh,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,160.0,1527.0,5481,auto_theft
Maharashtra,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,323.0,2832.0,8748,auto_theft
Manipur,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,4.0,106,auto_theft
Meghalaya,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,9.0,38,auto_theft
Mizoram,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,0.0,0,auto_theft
Nagaland,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,10.0,24,auto_theft
Odisha,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,145.0,344.0,1300,auto_theft
Puducherry,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,176.0,313,auto_theft
Punjab,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,165.0,267.0,629,auto_theft
Rajasthan,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,84.0,1263.0,5434,auto_theft
Tamil Nadu,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2357.0,2561.0,3645,auto_theft
Tripura,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,12.0,28,auto_theft
Uttar Pradesh,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,25.0,1315.0,6449,auto_theft
Uttarakhand,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,91.0,387,auto_theft
West Bengal,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,358.0,2093,auto_theft
Andaman & Nicobar Islands,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,5.0,5,auto_theft
Andhra Pradesh,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,2360.0,4659,auto_theft
Arunachal Pradesh,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,32.0,117,auto_theft
Assam,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,11.0,181.0,551,auto_theft
Bihar,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,197.0,1983,auto_theft
Chandigarh,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,129.0,368,auto_theft
Chhattisgarh,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,522.0,1426,auto_theft
Dadra & Nagar Haveli,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,3.0,14,auto_theft
Daman & Diu,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,4.0,5.0,18,auto_theft
Delhi,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,143.0,997.0,4574,auto_theft
Goa,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,49.0,158,auto_theft
Gujarat,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,353.0,1517.0,6199,auto_theft
Haryana,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,1227.0,3696,auto_theft
Himachal Pradesh,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,27.0,65,auto_theft
Jammu & Kashmir,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7.0,52.0,291,auto_theft
Jharkhand,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,6.0,108.0,476,auto_theft
Karnataka,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,81.0,1054.0,5073,auto_theft
Kerala,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,14.0,367.0,1203,auto_theft
Madhya Pradesh,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,1740.0,5741,auto_theft
Maharashtra,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,319.0,2479.0,9518,auto_theft
Manipur,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7.0,7.0,90,auto_theft
Meghalaya,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,4.0,23,auto_theft
Mizoram,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,0.0,0,auto_theft
Nagaland,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,39.0,170,auto_theft
Odisha,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,105.0,405.0,1525,auto_theft
Puducherry,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,138.0,138.0,224,auto_theft
Punjab,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,152.0,319.0,695,auto_theft
Rajasthan,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,260.0,1027.0,5425,auto_theft
Sikkim,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,1.0,1,auto_theft
Tamil Nadu,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2215.0,2353.0,3108,auto_theft
Tripura,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,6.0,52,auto_theft
Uttar Pradesh,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,64.0,1292.0,5895,auto_theft
Uttarakhand,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,100.0,339,auto_theft
West Bengal,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,25.0,398.0,2166,auto_theft
Andaman & Nicobar Islands,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,5.0,5,auto_theft
Andhra Pradesh,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,79.0,1754.0,4554,auto_theft
Arunachal Pradesh,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,22.0,74,auto_theft
Assam,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,16.0,248.0,674,auto_theft
Bihar,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,275.0,1700,auto_theft
Chandigarh,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,117.0,361,auto_theft
Chhattisgarh,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,80.0,630.0,1910,auto_theft
Dadra & Nagar Haveli,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,7.0,12,auto_theft
Daman & Diu,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,3.0,19,auto_theft
Delhi,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,105.0,953.0,4627,auto_theft
Goa,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7.0,52.0,170,auto_theft
Gujarat,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,423.0,1437.0,6409,auto_theft
Haryana,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2.0,1556.0,4641,auto_theft
Himachal Pradesh,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,32.0,38.0,74,auto_theft
Jammu & Kashmir,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,10.0,74.0,287,auto_theft
Jharkhand,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,5.0,235.0,1118,auto_theft
Karnataka,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,82.0,1046.0,4808,auto_theft
Kerala,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,17.0,328.0,1200,auto_theft
Lakshadweep,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,1.0,2,auto_theft
Madhya Pradesh,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,147.0,1843.0,6771,auto_theft
Maharashtra,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,833.0,3008.0,10104,auto_theft
Manipur,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,6.0,103,auto_theft
Meghalaya,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,9.0,56,auto_theft
Mizoram,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,30.0,37,auto_theft
Nagaland,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,5.0,34.0,50,auto_theft
Odisha,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,174.0,508.0,1410,auto_theft
Puducherry,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,111.0,304,auto_theft
Punjab,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,301.0,352.0,844,auto_theft
Rajasthan,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,331.0,1055.0,5716,auto_theft
Sikkim,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,1.0,1,auto_theft
Tamil Nadu,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2183.0,2423.0,2784,auto_theft
Tripura,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,3.0,15,auto_theft
Uttar Pradesh,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,28.0,1605.0,6571,auto_theft
Uttarakhand,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,92.0,374,auto_theft
West Bengal,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,22.0,304.0,2303,auto_theft
Andaman & Nicobar Islands,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,7.0,8,auto_theft
Andhra Pradesh,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,81.0,2499.0,5616,auto_theft
