state,year,crime_group,crime_subgroup,cases_stolen,value_stolen,cases_recovered,value_recovered,source_dataset
Madhya Pradesh,2002,Burglary - Property,3. Burglary,13344,139525244,4107,31684582,property_stolen_and_recovered
Maharashtra,2002,Burglary - Property,3. Burglary,13273,468021474,3634,73463306,property_stolen_and_recovered
Manipur,2002,Burglary - Property,3. Burglary,44,4136635,1,9525,property_stolen_and_recovered
Meghalaya,2002,Burglary - Property,3. Burglary,153,2883366,18,235630,property_stolen_and_recovered
Mizoram,2002,Burglary - Property,3. Burglary,446,13007402,217,2257657,property_stolen_and_recovered
Nagaland,2002,Burglary - Property,3. Burglary,110,4121381,34,413370,property_stolen_and_recovered
Odisha,2002,Burglary - Property,3. Burglary,2755,44470276,1087,11344562,property_stolen_and_recovered
Puducherry,2002,Burglary - Property,3. Burglary,129,3208215,38,1135868,property_stolen_and_recovered
Punjab,2002,Burglary - Property,3. Burglary,1928,77239545,770,18281270,property_stolen_and_recovered
Rajasthan,2002,Burglary - Property,3. Burglary,6300,112170907,1855,38679925,property_stolen_and_recovered
Sikkim,2002,Burglary - Property,3. Burglary,45,171030,9,24600,property_stolen_and_recovered
Tamil Nadu,2002,Burglary - Property,3. Burglary,5492,115086173,2953,45654971,property_stolen_and_recovered
Tripura,2002,Burglary - Property,3. Burglary,192,3096253,39,276519,property_stolen_and_recovered
Uttar Pradesh,2002,Burglary - Property,3. Burglary,4861,121312730,1028,36078709,property_stolen_and_recovered
Uttarakhand,2002,Burglary - Property,3. Burglary,496,14733698,113,3509806,property_stolen_and_recovered
West Bengal,2002,Burglary - Property,3. Burglary,348,14912291,128,1701319,property_stolen_and_recovered
Andaman & Nicobar Islands,2003,Burglary - Property,3. Burglary,56,1068059,16,681962,property_stolen_and_recovered
Andhra Pradesh,2003,Burglary - Property,3. Burglary,8969,195788844,3475,64794798,property_stolen_and_recovered
Arunachal Pradesh,2003,Burglary - Property,3. Burglary,253,18114179,83,12276582,property_stolen_and_recovered
Assam,2003,Burglary - Property,3. Burglary,2606,19841323,509,4036694,property_stolen_and_recovered
Bihar,2003,Burglary - Property,3. Burglary,2986,19821137,305,1719760,property_stolen_and_recovered
Chandigarh,2003,Burglary - Property,3. Burglary,204,7223758,85,1336159,property_stolen_and_recovered
Chhattisgarh,2003,Burglary - Property,3. Burglary,3621,38433339,968,8190813,property_stolen_and_recovered
Dadra & Nagar Haveli,2003,Burglary - Property,3. Burglary,41,6259345,12,3336861,property_stolen_and_recovered
