state,year,crime_group,crime_subgroup,cases_stolen,value_stolen,cases_recovered,value_recovered,source_dataset
Dadra & Nagar Haveli,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,12,606187858,8,5182865,property_stolen_and_recovered
Daman & Diu,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,3,481400,1,50000,property_stolen_and_recovered
Delhi,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,445,109174459,181,9556500,property_stolen_and_recovered
Goa,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,34,11010936,7,1555720,property_stolen_and_recovered
Gujarat,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1419,1737345011,608,26259866,property_stolen_and_recovered
Haryana,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,466,49781427,332,30549043,property_stolen_and_recovered
Himachal Pradesh,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,84,23374331,18,345774,property_stolen_and_recovered
Jammu & Kashmir,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,105,1640435,24,1293015,property_stolen_and_recovered
Jharkhand,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,333,5899913,53,1276520,property_stolen_and_recovered
Karnataka,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,354,119683651,145,37961216,property_stolen_and_recovered
Kerala,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,236,56346557,62,15987869,property_stolen_and_recovered
Lakshadweep,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,0,0,0,property_stolen_and_recovered
Madhya Pradesh,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,424,25445332,288,7948030,property_stolen_and_recovered
Maharashtra,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1371,1374397852,669,86911957,property_stolen_and_recovered
Manipur,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,25,19169678,1,129019,property_stolen_and_recovered
Meghalaya,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,23,3989942,2,26830,property_stolen_and_recovered
Mizoram,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,0,0,0,property_stolen_and_recovered
Nagaland,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,10,3250540,4,196400,property_stolen_and_recovered
Odisha,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,249,18949949,93,3072016,property_stolen_and_recovered
Puducherry,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,7,2071359,0,0,property_stolen_and_recovered
Punjab,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,311,756610830,301,221325402,property_stolen_and_recovered
Rajasthan,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,55,2313435,37,2064000,property_stolen_and_recovered
Sikkim,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,4,2974226,0,0,property_stolen_and_recovered
Tamil Nadu,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,200,115277990,69,6564785,property_stolen_and_recovered
Tripura,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,17,1674920,0,0,property_stolen_and_recovered
Uttar Pradesh,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,172,55810058,78,55244612,property_stolen_and_recovered
Uttarakhand,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,0,0,0,property_stolen_and_recovered
West Bengal,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,425,72124632,184,15043440,property_stolen_and_recovered
Andaman & Nicobar Islands,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,8,252808214,0,0,property_stolen_and_recovered
Andhra Pradesh,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,348,60887542,47,15059030,property_stolen_and_recovered
Arunachal Pradesh,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,36,55772925,7,1170875,property_stolen_and_recovered
Assam,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,487,37840904,89,3320562,property_stolen_and_recovered
Bihar,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1181,15356354,27,1644236,property_stolen_and_recovered
Chandigarh,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,41,7703068,22,2560950,property_stolen_and_recovered
Chhattisgarh,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,105,8747070,59,1478929,property_stolen_and_recovered
Dadra & Nagar Haveli,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,12,7514220,8,5243420,property_stolen_and_recovered
Daman & Diu,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,6,1501283,4,377843,property_stolen_and_recovered
Delhi,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,394,69538509,159,1910000,property_stolen_and_recovered
Goa,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,42,24107134,8,814936,property_stolen_and_recovered
Gujarat,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1242,2166041426,678,31806265,property_stolen_and_recovered
Haryana,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,492,62176960,386,40091504,property_stolen_and_recovered
Himachal Pradesh,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,73,7746849,6,203300,property_stolen_and_recovered
Jammu & Kashmir,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,117,6830435,21,2100252,property_stolen_and_recovered
Jharkhand,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,168,10187872,84,1125340,property_stolen_and_recovered
Karnataka,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,434,1041217289,94,6490466,property_stolen_and_recovered
Kerala,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,278,71704600,48,2674311,property_stolen_and_recovered
Lakshadweep,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,0,0,0,property_stolen_and_recovered
Madhya Pradesh,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,489,61101274,328,16256773,property_stolen_and_recovered
Maharashtra,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1637,1594302767,890,105086490,property_stolen_and_recovered
Manipur,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,52,86397529,2,250000,property_stolen_and_recovered
Meghalaya,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,14,766600,1,646000,property_stolen_and_recovered
Mizoram,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,10,300191,7,83383,property_stolen_and_recovered
Nagaland,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,16,13219304,7,7236040,property_stolen_and_recovered
Odisha,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,288,1500724,95,354667,property_stolen_and_recovered
Puducherry,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,8,8312445,4,8212429,property_stolen_and_recovered
Punjab,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,301,415266700,269,365232752,property_stolen_and_recovered
Rajasthan,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,61,2598014,34,1663818,property_stolen_and_recovered
Sikkim,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,4,801896,0,0,property_stolen_and_recovered
Tamil Nadu,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,179,40501409,60,6699640,property_stolen_and_recovered
Tripura,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,32,9035425,1,20000,property_stolen_and_recovered
Uttar Pradesh,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,356,32977266,142,18480285,property_stolen_and_recovered
Uttarakhand,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,0,0,0,property_stolen_and_recovered
West Bengal,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,528,54200583,207,14233729,property_stolen_and_recovered
Andaman & Nicobar Islands,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,3,2190825,0,0,property_stolen_and_recovered
Andhra Pradesh,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,396,87652602,63,13934804,property_stolen_and_recovered
Arunachal Pradesh,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,45,10552823,23,1603077,property_stolen_and_recovered
Assam,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,461,68198861,79,3485175,property_stolen_and_recovered
Bihar,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1042,25004534,30,1563838,property_stolen_and_recovered
Chandigarh,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,59,16002635,35,11670864,property_stolen_and_recovered
Chhattisgarh,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,130,16808504,47,4973985,property_stolen_and_recovered
Dadra & Nagar Haveli,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,30,53254433,5,3698350,property_stolen_and_recovered
Daman & Diu,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,9,5017655,2,577500,property_stolen_and_recovered
Delhi,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,442,147797958,162,21473070,property_stolen_and_recovered
Goa,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,25,6906420,9,3928190,property_stolen_and_recovered
Gujarat,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1118,635317912,567,30433157,property_stolen_and_recovered
Haryana,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,685,122768355,601,77297743,property_stolen_and_recovered
Himachal Pradesh,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,123,40419057,16,2296611,property_stolen_and_recovered
Jammu & Kashmir,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,121,24202050,28,13125437,property_stolen_and_recovered
Jharkhand,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,292,9902369,15,328065,property_stolen_and_recovered
Karnataka,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,378,91306788,116,20579025,property_stolen_and_recovered
Kerala,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,243,698169929,37,4237380,property_stolen_and_recovered
Lakshadweep,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,0,0,0,property_stolen_and_recovered
Madhya Pradesh,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,362,41386099,217,8046499,property_stolen_and_recovered
Maharashtra,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1643,1614797474,902,114074650,property_stolen_and_recovered
Manipur,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,32,30743668,2,120400,property_stolen_and_recovered
Meghalaya,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,16,8955200,1,2500000,property_stolen_and_recovered
Mizoram,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,27,5436475,15,1259207,property_stolen_and_recovered
Nagaland,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,16,3110618,9,2104007,property_stolen_and_recovered
Odisha,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,272,13541445,74,2784237,property_stolen_and_recovered
Puducherry,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,6,12645000,4,12525000,property_stolen_and_recovered
Punjab,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,274,113718753,243,82015692,property_stolen_and_recovered
Rajasthan,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,226,1723542,136,1406500,property_stolen_and_recovered
Sikkim,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,10,2083734,0,0,property_stolen_and_recovered
Tamil Nadu,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,131,55595961,43,5829862,property_stolen_and_recovered
Tripura,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,23,3520240,4,372206,property_stolen_and_recovered
Uttar Pradesh,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,599,32401924,284,22854450,property_stolen_and_recovered
Uttarakhand,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,0,0,0,property_stolen_and_recovered
West Bengal,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,519,77997962,243,18904822,property_stolen_and_recovered
Andaman & Nicobar Islands,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,7,1477118,0,0,property_stolen_and_recovered
Andhra Pradesh,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,278,63766044,53,10588289,property_stolen_and_recovered
Arunachal Pradesh,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,41,51346151,17,3274206,property_stolen_and_recovered
Assam,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,653,34040085,56,1581103,property_stolen_and_recovered
Bihar,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1309,14712214,26,1318034,property_stolen_and_recovered
Chandigarh,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,38,3058877,16,1915510,property_stolen_and_recovered
Chhattisgarh,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,140,30978819,54,10931853,property_stolen_and_recovered
Dadra & Nagar Haveli,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,17,42084478,9,30213260,property_stolen_and_recovered
Daman & Diu,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,5,1625025,2,1100000,property_stolen_and_recovered
Delhi,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,451,124954720,167,9096680,property_stolen_and_recovered
Goa,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,25,26805017,7,1192650,property_stolen_and_recovered
Gujarat,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,987,435121121,545,40665503,property_stolen_and_recovered
Haryana,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,676,118459813,585,94736133,property_stolen_and_recovered
Himachal Pradesh,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,104,30067323,10,1583229,property_stolen_and_recovered
Jammu & Kashmir,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,58,67056704,30,11345485,property_stolen_and_recovered
Jharkhand,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,207,6259336,19,350756,property_stolen_and_recovered
Karnataka,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,320,82460451,89,10670130,property_stolen_and_recovered
Kerala,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,298,109496116,18,1955592,property_stolen_and_recovered
Lakshadweep,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,0,0,0,property_stolen_and_recovered
Madhya Pradesh,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,392,30867694,264,19174548,property_stolen_and_recovered
Maharashtra,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1621,2011980786,861,176923736,property_stolen_and_recovered
Manipur,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,19,7601968,0,0,property_stolen_and_recovered
Meghalaya,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,16,92850,2,1200,property_stolen_and_recovered
Mizoram,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,19,941761,7,81286,property_stolen_and_recovered
Nagaland,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,11,7192980,4,473000,property_stolen_and_recovered
Odisha,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,319,15837475,107,2712285,property_stolen_and_recovered
Puducherry,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,6,1341010,2,398673,property_stolen_and_recovered
Punjab,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,313,190473006,290,165365440,property_stolen_and_recovered
Rajasthan,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,320,7846390,181,7392870,property_stolen_and_recovered
Sikkim,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,7,2076769,0,0,property_stolen_and_recovered
Tamil Nadu,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,256,94743212,118,8750943,property_stolen_and_recovered
Tripura,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,42,9839599,11,75000,property_stolen_and_recovered
Uttar Pradesh,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1566,79013060,900,40964993,property_stolen_and_recovered
Uttarakhand,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,0,0,0,property_stolen_and_recovered
West Bengal,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,669,86764866,228,17147075,property_stolen_and_recovered
Andaman & Nicobar Islands,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,12,4331562,4,62169,property_stolen_and_recovered
Andhra Pradesh,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,329,76445367,109,10702595,property_stolen_and_recovered
Arunachal Pradesh,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,43,23736222,14,9690740,property_stolen_and_recovered
Assam,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,680,44107861,114,5186080,property_stolen_and_recovered
Bihar,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1352,19375909,94,1290244,property_stolen_and_recovered
Chandigarh,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,37,18228424,16,10373722,property_stolen_and_recovered
Chhattisgarh,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,146,49003223,50,17199111,property_stolen_and_recovered
Dadra & Nagar Haveli,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,10,17271204,6,4640633,property_stolen_and_recovered
Daman & Diu,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,4,14367990,0,0,property_stolen_and_recovered
Delhi,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,355,66787480,100,2512000,property_stolen_and_recovered
Goa,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,40,18853727,6,3261600,property_stolen_and_recovered
Gujarat,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,917,787400659,482,56003381,property_stolen_and_recovered
Haryana,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,763,100913081,537,63587887,property_stolen_and_recovered
Himachal Pradesh,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,109,21016747,14,3011299,property_stolen_and_recovered
Jammu & Kashmir,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,25,3802280,2,382280,property_stolen_and_recovered
Jharkhand,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,155,15173235,14,485200,property_stolen_and_recovered
Karnataka,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,360,289353089,122,60994188,property_stolen_and_recovered
Kerala,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,319,961553395,21,8165098,property_stolen_and_recovered
Lakshadweep,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,0,0,0,property_stolen_and_recovered
Madhya Pradesh,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,450,84903306,312,13761605,property_stolen_and_recovered
Maharashtra,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1761,3442732203,876,152911595,property_stolen_and_recovered
Manipur,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,24,9553041,2,605000,property_stolen_and_recovered
Meghalaya,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,28,5101968,8,826134,property_stolen_and_recovered
Mizoram,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,28,2217536,19,1240552,property_stolen_and_recovered
Nagaland,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,16,6766575,0,0,property_stolen_and_recovered
Odisha,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,278,49900708,80,27628493,property_stolen_and_recovered
Puducherry,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,13,3131550,3,145000,property_stolen_and_recovered
Punjab,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,236,97579635,218,75269656,property_stolen_and_recovered
Rajasthan,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,255,3245982,162,2795982,property_stolen_and_recovered
Sikkim,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,6,155267306,0,0,property_stolen_and_recovered
Tamil Nadu,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,183,43763705,75,12312213,property_stolen_and_recovered
Tripura,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,42,17060133,9,70300,property_stolen_and_recovered
Uttar Pradesh,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,2008,170207541,1095,60772740,property_stolen_and_recovered
Uttarakhand,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,0,0,0,property_stolen_and_recovered
West Bengal,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,853,122133036,274,28559906,property_stolen_and_recovered
Andaman & Nicobar Islands,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,7,187903,0,0,property_stolen_and_recovered
Andhra Pradesh,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,466,152390321,160,38183752,property_stolen_and_recovered
Arunachal Pradesh,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,38,44973410,14,3314510,property_stolen_and_recovered
Assam,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,802,39718582,39,3101060,property_stolen_and_recovered
Bihar,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1186,20075889,37,3445872,property_stolen_and_recovered
Chandigarh,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,38,4296050,12,1368760,property_stolen_and_recovered
Chhattisgarh,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,166,22868913,63,9361355,property_stolen_and_recovered
Dadra & Nagar Haveli,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,17,12792400,9,4264187,property_stolen_and_recovered
Daman & Diu,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,6,2845270,1,1045655,property_stolen_and_recovered
Delhi,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,333,168282309,106,26063598,property_stolen_and_recovered
Goa,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,46,500734226,14,2029444,property_stolen_and_recovered
Gujarat,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,987,1021824056,450,126189464,property_stolen_and_recovered
Haryana,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,761,120410728,577,95125041,property_stolen_and_recovered
Himachal Pradesh,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,88,22831778,16,3410288,property_stolen_and_recovered
Jammu & Kashmir,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,36,10224702,16,4537375,property_stolen_and_recovered
Jharkhand,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,442,15951445,47,1363825,property_stolen_and_recovered
Karnataka,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,389,865928132,97,13716945,property_stolen_and_recovered
Kerala,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,254,141278899,29,2023388,property_stolen_and_recovered
Lakshadweep,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,0,0,0,property_stolen_and_recovered
Madhya Pradesh,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,437,51747531,317,19209976,property_stolen_and_recovered
Maharashtra,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1735,1483178194,918,142506516,property_stolen_and_recovered
Manipur,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,19,3231900,0,0,property_stolen_and_recovered
Meghalaya,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,26,7415545,3,713000,property_stolen_and_recovered
Mizoram,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,30,2251157,13,769912,property_stolen_and_recovered
Nagaland,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,6,9818350,1,70000,property_stolen_and_recovered
Odisha,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,175,20650331,39,1126618,property_stolen_and_recovered
Puducherry,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,7,4457373,3,1049380,property_stolen_and_recovered
Punjab,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,222,86931962,200,62133278,property_stolen_and_recovered
Rajasthan,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,295,3126218,208,2634820,property_stolen_and_recovered
Sikkim,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,4,3783404,0,0,property_stolen_and_recovered
Tamil Nadu,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,205,99223177,68,25609109,property_stolen_and_recovered
Tripura,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,52,17838570,46,28000,property_stolen_and_recovered
Uttar Pradesh,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1176,48400340,493,21525323,property_stolen_and_recovered
Uttarakhand,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,0,0,0,property_stolen_and_recovered
West Bengal,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,896,151298531,307,30082932,property_stolen_and_recovered
Andaman & Nicobar Islands,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,10,530144,2,147644,property_stolen_and_recovered
Andhra Pradesh,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,417,101817765,113,15315562,property_stolen_and_recovered
Arunachal Pradesh,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,59,114314139,20,19048720,property_stolen_and_recovered
Assam,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,992,27018001,41,1646451,property_stolen_and_recovered
Bihar,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1071,13148146,35,464781,property_stolen_and_recovered
Chandigarh,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,23,1356000,5,280000,property_stolen_and_recovered
Chhattisgarh,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,196,37444239,77,10460322,property_stolen_and_recovered
Dadra & Nagar Haveli,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,12,4846741,7,1292551,property_stolen_and_recovered
Daman & Diu,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,4,149000,1,10000,property_stolen_and_recovered
Delhi,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,273,71945074,80,7227255,property_stolen_and_recovered
Goa,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,45,16153977,22,3744000,property_stolen_and_recovered
Gujarat,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,997,757466843,406,72558586,property_stolen_and_recovered
Haryana,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,743,244175753,496,207754960,property_stolen_and_recovered
Himachal Pradesh,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,71,21774893,9,452838,property_stolen_and_recovered
Jammu & Kashmir,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,36,14738800,14,3364800,property_stolen_and_recovered
Jharkhand,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,399,217344840,147,2266675,property_stolen_and_recovered
Karnataka,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,380,120010848,183,4313888,property_stolen_and_recovered
Kerala,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,264,482166623,44,5789528,property_stolen_and_recovered
